Date,lat,lon,dep,yr,mag
1990-05-29,57.016,-153.498,23.3,1990,6
1990-05-30,-6.022,-77.197,17.2,1990,6.5
1990-05-30,45.852,26.646,89.8,1990,7
1990-05-31,45.824,26.731,91.2,1990,6.2
1990-05-31,17.249,-100.685,26.1,1990,5.7
1990-06-01,35.639,140.517,58.9,1990,6.2
1990-06-07,-3.457,144.493,14.2,1990,6.4
1990-06-08,-18.822,-178.781,502.4,1990,6.4
1990-06-13,6.387,126.361,79,1990,5.5
1990-06-14,11.39,122.045,17.8,1990,7.1
1990-06-14,47.848,85.049,57.4,1990,6.6
1990-06-15,-5.007,152.132,68.4,1990,5.8
1990-06-16,27.982,127.983,49.1,1990,5.9
1990-06-17,27.414,65.704,12,1990,6
1990-06-20,37.008,49.213,18,1990,7.4
1990-06-21,36.63,49.789,13.3,1990,5.5
1990-06-23,-0.578,146.521,28,1990,6.1
1990-06-23,-21.501,-176.458,185.2,1990,6.9
1990-06-24,-21.521,-176.461,188.9,1990,5.6
1990-06-26,-21.962,-179.418,595.2,1990,6.2
1990-06-28,56.149,164.493,15.6,1990,5.5
1990-06-29,-21.499,-179.265,609.1,1990,5.5
1990-07-07,12.217,120.64,26.5,1990,5.5
1990-07-08,-17.781,-178.827,553.9,1990,5.6
1990-07-09,5.431,31.678,15.3,1990,6.2
1990-07-10,8.434,-103.195,25.6,1990,5.5
1990-07-10,-10.322,161.173,71.2,1990,6.3
1990-07-11,-57.317,-25.574,61,1990,5.5
1990-07-11,-25.326,178.413,573.5,1990,5.9
1990-07-11,-25.342,178.328,575.3,1990,5.8
1990-07-12,14.629,-60.471,21.7,1990,5.6
1990-07-13,36.434,70.777,211.7,1990,6.3
1990-07-14,0.009,-17.372,12.6,1990,6.6
1990-07-14,-0.015,-17.563,18,1990,5.5
1990-07-14,11.875,143.312,31.5,1990,5.6
1990-07-16,15.723,121.18,23.8,1990,7.7
1990-07-16,16.402,120.41,48.9,1990,5.6
1990-07-16,16.542,120.876,18.8,1990,6.1
1990-07-16,16.31,120.41,41.1,1990,5.6
1990-07-16,-32.482,-69.951,100.1,1990,5.7
1990-07-17,16.439,120.819,21,1990,5.9
1990-07-17,16.454,120.999,25.7,1990,6.5
1990-07-20,16.437,120.923,22.6,1990,5.5
1990-07-22,-23.604,-179.846,534.1,1990,6.2
1990-07-26,27.35,65.576,15,1990,5.7
1990-07-27,-15.33,167.541,127,1990,7.2
1990-07-31,42.426,-126.785,18.8,1990,5.5
1990-08-02,-31.726,-71.788,45.6,1990,5.9
1990-08-02,-6.474,105.293,48.8,1990,5.6
1990-08-03,47.96,84.97,36.8,1990,6.1
1990-08-05,29.494,137.677,500.5,1990,6.4
1990-08-05,36.414,141.192,27.1,1990,6
1990-08-05,-1.103,-13.847,16.1,1990,6.4
1990-08-10,-20.175,168.414,23.7,1990,5.6
1990-08-10,0.343,126.155,36.5,1990,6.1
1990-08-10,-19.768,-177.349,385.8,1990,5.6
1990-08-12,-19.44,169.237,140.4,1990,7.1
1990-08-14,35.357,-35.805,8,1990,6.3
1990-08-17,-11.09,162.057,23.2,1990,6.7
1990-08-18,-40.192,78.298,19.7,1990,6.1
1990-08-18,7.586,93.91,19.1,1990,5.9
1990-08-20,46.093,142.263,332.9,1990,5.5
1990-08-21,-33.437,-177.809,15,1990,5.7
1990-08-21,-27.553,-104.307,15.2,1990,5.8
1990-08-25,0.54,126.064,13.5,1990,6.3
1990-08-27,-6.865,125.457,519.7,1990,5.6
1990-08-30,15.912,-47.911,7.4,1990,5.5
1990-09-02,-0.136,-80.232,15.2,1990,6.2
1990-09-02,-3.08,148.214,7.6,1990,5.5
1990-09-02,-3.153,148.295,11.4,1990,5.8
1990-09-04,-31.257,-69.1,110.7,1990,5.5
1990-09-05,8.526,126.421,43.7,1990,5.5
1990-09-08,-24.444,-177.047,134.6,1990,5.5
1990-09-08,-20.55,-174.084,36,1990,5.9
1990-09-09,-5.161,151.841,51.3,1990,5.9
1990-09-11,22.712,120.886,36.2,1990,5.5
1990-09-12,-60.447,-65.169,22.8,1990,5.6
1990-09-14,-60.812,-22.919,24.3,1990,5.9
1990-09-17,-5.94,103.719,60.6,1990,5.6
1990-09-17,-53.23,159.702,15,1990,6.4
1990-09-18,51.46,177.881,37.2,1990,5.5
1990-09-23,-14.907,-173.47,1.5,1990,5.8
1990-09-23,-17.779,167.73,26.2,1990,6.3
1990-09-23,33.275,138.612,6.7,1990,6.5
1990-09-23,33.241,138.635,7.8,1990,6.1
1990-09-24,-17.679,167.966,29.8,1990,5.7
1990-09-28,-13.534,167.134,181.5,1990,6.7
1990-09-30,24.305,125.175,36.9,1990,6
1990-10-02,-17.645,167.893,33.3,1990,5.7
1990-10-02,-23.965,-174.587,17.7,1990,5.5
1990-10-10,-19.532,-66.59,259.4,1990,6.5
1990-10-10,-23.5,179.132,552.2,1990,5.9
1990-10-13,15.777,148.003,18.4,1990,5.7
1990-10-15,-2.208,92.193,40.4,1990,6.7
1990-10-16,49.107,154.982,86.4,1990,5.6
1990-10-17,-25.653,-176.212,3.3,1990,5.6
1990-10-17,-11.032,-70.741,598.5,1990,7
1990-10-20,37.092,103.739,4.3,1990,5.5
1990-10-25,35.091,70.475,112.3,1990,5.6
1990-10-25,8.326,126.463,44.8,1990,6.3
1990-10-25,-6.132,155.023,141,1990,5.7
1990-10-26,-35.282,-16.357,17.2,1990,5.9
1990-10-26,-35.411,-16.127,4.3,1990,5.5
1990-10-29,-63.556,172.141,10,1990,5.5
1990-11-01,-3.497,139.402,38.4,1990,5.5
1990-11-04,-15.712,-72.548,121.3,1990,5.5
1990-11-06,28.232,55.459,10.2,1990,6.6
1990-11-06,28.234,55.349,39.6,1990,5.7
1990-11-06,53.491,169.819,25.9,1990,7.1
1990-11-12,42.953,78.055,18.7,1990,6.2
1990-11-13,46.199,138.661,15.3,1990,5.7
1990-11-15,3.933,97.392,12.3,1990,6.7
1990-11-15,4.007,97.298,44.9,1990,5.7
1990-11-15,3.988,97.298,69,1990,5.6
1990-11-20,0.19,127.053,120.2,1990,5.5
1990-11-21,51.657,-171.353,49.8,1990,5.8
1990-11-22,-5.577,151.054,28.3,1990,6.2
1990-11-23,-4.912,145.863,17,1990,5.5
1990-11-23,4.705,-75.557,143.3,1990,5.8
1990-11-25,-23.709,-175.681,30,1990,5.6
1990-11-29,-28.011,-179.62,395.6,1990,5.9
1990-11-30,1.064,123.957,31.6,1990,5.6
1990-12-02,-26.756,-114.173,6,1990,5.6
1990-12-05,-5.274,131.449,82.1,1990,5.9
1990-12-07,-16.962,-177.216,413.3,1990,5.8
1990-12-10,-5.912,142.281,13.5,1990,5.8
1990-12-11,-15.382,-173.087,18.3,1990,6.1
1990-12-11,-15.373,-172.906,7.4,1990,5.5
1990-12-13,23.883,121.644,9.8,1990,6.2
1990-12-13,1.099,123.961,36.2,1990,6
1990-12-13,23.754,121.598,14.7,1990,6.3
1990-12-13,23.696,121.603,28.5,1990,5.7
1990-12-13,23.857,121.715,5.7,1990,5.8
1990-12-16,-5.953,142.239,21,1990,5.5
1990-12-17,6.609,-82.176,20.8,1990,6.2
1990-12-17,7.058,-81.966,10,1990,6
1990-12-19,52.666,160.608,31,1990,5.8
1990-12-21,-16.664,-177.431,9.5,1990,5.6
1990-12-21,-20.536,-173.941,15.3,1990,6
1990-12-21,40.98,22.347,10.8,1990,6
1990-12-22,9.982,-84.229,11.3,1990,5.8
1990-12-22,-14.908,168.123,29.2,1990,5.5
1990-12-23,-15.127,167.497,143.4,1990,5.6
1990-12-24,-5.35,151.542,50.3,1990,5.8
1990-12-25,23.808,121.587,38,1990,5.7
1990-12-28,-14.919,66.738,23.1,1990,5.7
1990-12-29,8.3,94.018,15.9,1990,6
1990-12-30,23.864,121.666,17.1,1990,5.6
1990-12-30,-5.093,151.022,187.8,1990,7.5
1990-12-31,0.839,126.654,68.9,1990,5.5
1991-01-01,18.003,-105.903,23,1991,6.2
1991-01-01,17.883,-105.932,25,1991,5.5
1991-01-01,-21.091,-174.177,17.9,1991,5.8
1991-01-03,-29.602,-111.879,15,1991,5.7
1991-01-03,-7.156,148.609,23.9,1991,6
1991-01-03,-7.157,148.529,50.1,1991,6
1991-01-03,2.053,126.837,44.6,1991,5.6
1991-01-05,23.573,95.871,17.5,1991,7
1991-01-08,-18.074,-173.446,33.7,1991,6.1
1991-01-09,-5.358,151.907,27.7,1991,6.1
1991-01-10,-5.475,151.904,33.3,1991,5.6
1991-01-13,40.615,105.795,12.3,1991,5.6
1991-01-13,-2.874,84.544,31.9,1991,5.6
1991-01-14,-25.26,178.412,575.6,1991,5.6
1991-01-15,-5.975,154.484,64.9,1991,5.9
1991-01-17,-4.999,151.27,153.2,1991,5.6
1991-01-18,-51.189,139.333,1.9,1991,6.3
1991-01-20,-21.227,170.061,80.5,1991,5.8
1991-01-21,-55.538,-128.086,10.8,1991,5.8
1991-01-23,51.966,178.842,111,1991,6.4
1991-01-25,-2.114,139.063,28.4,1991,6
1991-01-25,-2.127,139.152,57.5,1991,5.9
1991-01-28,-41.967,171.772,27.1,1991,5.5
1991-01-28,-41.97,171.767,18.4,1991,5.7
1991-01-31,0.52,126.019,45,1991,5.5
1991-01-31,35.947,70.442,142.4,1991,6.9
1991-02-09,-15.599,-176.981,18.2,1991,5.9
1991-02-09,-9.891,159.216,23.4,1991,6.9
1991-02-09,-9.885,159.256,28.5,1991,6.2
1991-02-10,8.693,-39.889,11.1,1991,5.7
1991-02-10,14.069,144.806,154.6,1991,5.9
1991-02-12,-32.033,179.963,364.5,1991,5.5
1991-02-14,-33.012,-179.249,48.7,1991,5.7
1991-02-14,-6.273,154.774,51.3,1991,5.8
1991-02-14,-22.382,-112.708,20.8,1991,5.9
1991-02-16,48.297,154.331,44.4,1991,6
1991-02-17,-21.119,169.852,68,1991,5.8
1991-02-18,8.917,126.49,35.1,1991,6.8
1991-02-20,-22.603,-112.957,17.9,1991,5.7
1991-02-21,58.412,-175.45,14.5,1991,6.6
1991-02-24,-15.131,-173.354,16,1991,5.5
1991-02-25,40.324,78.972,23.8,1991,5.9
1991-02-28,-20.088,-175.757,217,1991,5.5
1991-03-01,10.9,-84.649,204.7,1991,6
1991-03-03,-21.874,-174.996,14.9,1991,6.1
1991-03-05,-3.997,102.31,56.3,1991,5.5
1991-03-08,60.846,167.041,9.8,1991,6.6
1991-03-08,60.806,167.125,9.3,1991,6.1
1991-03-08,60.693,167.211,25,1991,5.6
1991-03-08,-24.563,-69.936,53,1991,5.5
1991-03-08,60.947,166.81,25,1991,5.8
1991-03-09,-54.678,-131.511,19.5,1991,5.8
1991-03-11,-50.99,29.165,12.4,1991,6.4
1991-03-16,10.178,-85.231,49,1991,6.2
1991-03-20,-5.811,-80.936,26.3,1991,5.8
1991-03-21,-9.756,-79.748,23.1,1991,6
1991-03-21,-11.702,166.362,67.5,1991,5.5
1991-03-26,21.715,121.731,18.7,1991,6.2
1991-03-26,19.775,-70.343,12.1,1991,5.6
1991-03-28,-18.231,168.135,33.1,1991,5.6
1991-04-01,15.782,95.689,10.5,1991,5.8
1991-04-01,-4.886,152.075,88.7,1991,5.5
1991-04-01,15.816,95.653,12.6,1991,5.6
1991-04-01,16.179,-98.272,22.4,1991,5.6
1991-04-04,7.052,-78.118,33.6,1991,6.1
1991-04-04,-6.051,-77.136,22.3,1991,6.4
1991-04-05,-5.969,-77.083,21.7,1991,6.9
1991-04-05,-14.209,-75.49,51.7,1991,6.2
1991-04-05,-54.461,-132.526,15,1991,5.6
1991-04-06,-15.027,-175.452,21.3,1991,6.7
1991-04-07,-3.051,130.396,22.7,1991,5.7
1991-04-09,-9.819,-74.672,128.6,1991,5.5
1991-04-11,-5.28,151.784,55.9,1991,5.5
1991-04-13,-20.121,169.153,33,1991,5.6
1991-04-14,27.221,127.415,83.9,1991,5.9
1991-04-18,-22.933,-179.277,479.7,1991,5.7
1991-04-19,-15.038,-174.956,24.7,1991,6
1991-04-19,-6.952,129.514,132.9,1991,5.7
1991-04-22,9.672,-83.072,13.2,1991,7.6
1991-04-23,-2.742,134.479,12.4,1991,5.6
1991-04-23,14.041,-91.615,64,1991,5.6
1991-04-24,9.104,126.74,21.5,1991,6.2
1991-04-24,2.543,-79.711,26.6,1991,6.1
1991-04-24,9.771,-83.515,0.5,1991,6
1991-04-29,42.434,43.673,7,1991,7
1991-04-29,-11.293,-77.654,59.9,1991,5.8
1991-04-29,42.499,43.737,22.2,1991,5.5
1991-04-29,42.475,43.851,13.2,1991,6
1991-04-30,5.891,-82.69,15,1991,5.8
1991-04-30,-6.333,147.245,53.6,1991,5.5
1991-05-01,62.551,-151.513,114.1,1991,6.2
1991-05-02,9.423,-77.182,34.2,1991,5.7
1991-05-03,28.016,139.695,436.3,1991,6.7
