Date;lat;lon;dep;yr;mag
11/05/1990;41.77;130.964;581.4;1990;6.2
12/05/1990;48.985;141.865;613.3;1990;7.2
12/05/1990;-6.047;149.828;67.7;1990;5.6
13/05/1990;-40.293;176.154;22.6;1990;6.4
14/05/1990;-35.853;-71.403;83.4;1990;6
15/05/1990;36.013;70.437;111.5;1990;5.9
15/05/1990;1.166;123.877;31.9;1990;5.8
17/05/1990;-18.103;-69.601;104.7;1990;5.5
17/05/1990;38.421;74.354;106.8;1990;5.5
17/05/1990;-25.505;178.222;602;1990;5.7
17/05/1990;26.665;127.83;32.7;1990;5.6
20/05/1990;5.113;32.178;7.3;1990;7.1
20/05/1990;43.873;147.544;68.8;1990;5.6
20/05/1990;-18.155;-175.163;231.6;1990;6.2
20/05/1990;-32.635;179.71;339.8;1990;6
22/05/1990;-35.496;-97.549;3.5;1990;6
24/05/1990;5.315;31.877;21.5;1990;6.5
24/05/1990;5.343;31.84;15.6;1990;7.1
24/05/1990;-7.363;120.347;587.5;1990;7.1
25/05/1990;-2.964;130.231;19.7;1990;5.7
26/05/1990;1.307;123.353;32.4;1990;5.5
27/05/1990;74.211;8.808;14;1990;5.5
27/05/1990;7.71;-36.903;19;1990;5.7
28/05/1990;-20.858;-177.955;493.5;1990;5.7
29/05/1990;57.016;-153.498;23.3;1990;6
30/05/1990;-6.022;-77.197;17.2;1990;6.5
30/05/1990;45.852;26.646;89.8;1990;7
31/05/1990;45.824;26.731;91.2;1990;6.2
31/05/1990;17.249;-100.685;26.1;1990;5.7
1/06/1990;35.639;140.517;58.9;1990;6.2
7/06/1990;-3.457;144.493;14.2;1990;6.4
8/06/1990;-18.822;-178.781;502.4;1990;6.4
13/06/1990;6.387;126.361;79;1990;5.5
14/06/1990;11.39;122.045;17.8;1990;7.1
14/06/1990;47.848;85.049;57.4;1990;6.6
15/06/1990;-5.007;152.132;68.4;1990;5.8
16/06/1990;27.982;127.983;49.1;1990;5.9
17/06/1990;27.414;65.704;12;1990;6
20/06/1990;37.008;49.213;18;1990;7.4
21/06/1990;36.63;49.789;13.3;1990;5.5
23/06/1990;-0.578;146.521;28;1990;6.1
23/06/1990;-21.501;-176.458;185.2;1990;6.9
24/06/1990;-21.521;-176.461;188.9;1990;5.6
26/06/1990;-21.962;-179.418;595.2;1990;6.2
28/06/1990;56.149;164.493;15.6;1990;5.5
29/06/1990;-21.499;-179.265;609.1;1990;5.5
7/07/1990;12.217;120.64;26.5;1990;5.5
8/07/1990;-17.781;-178.827;553.9;1990;5.6
9/07/1990;5.431;31.678;15.3;1990;6.2
10/07/1990;8.434;-103.195;25.6;1990;5.5
10/07/1990;-10.322;161.173;71.2;1990;6.3
11/07/1990;-57.317;-25.574;61;1990;5.5
11/07/1990;-25.326;178.413;573.5;1990;5.9
11/07/1990;-25.342;178.328;575.3;1990;5.8
12/07/1990;14.629;-60.471;21.7;1990;5.6
13/07/1990;36.434;70.777;211.7;1990;6.3
14/07/1990;0.009;-17.372;12.6;1990;6.6
14/07/1990;-0.015;-17.563;18;1990;5.5
14/07/1990;11.875;143.312;31.5;1990;5.6
16/07/1990;15.723;121.18;23.8;1990;7.7
16/07/1990;16.402;120.41;48.9;1990;5.6
16/07/1990;16.542;120.876;18.8;1990;6.1
16/07/1990;16.31;120.41;41.1;1990;5.6
16/07/1990;-32.482;-69.951;100.1;1990;5.7
17/07/1990;16.439;120.819;21;1990;5.9
17/07/1990;16.454;120.999;25.7;1990;6.5
20/07/1990;16.437;120.923;22.6;1990;5.5
22/07/1990;-23.604;-179.846;534.1;1990;6.2
26/07/1990;27.35;65.576;15;1990;5.7
27/07/1990;-15.33;167.541;127;1990;7.2
31/07/1990;42.426;-126.785;18.8;1990;5.5
2/08/1990;-31.726;-71.788;45.6;1990;5.9
2/08/1990;-6.474;105.293;48.8;1990;5.6
3/08/1990;47.96;84.97;36.8;1990;6.1
5/08/1990;29.494;137.677;500.5;1990;6.4
5/08/1990;36.414;141.192;27.1;1990;6
5/08/1990;-1.103;-13.847;16.1;1990;6.4
10/08/1990;-20.175;168.414;23.7;1990;5.6
10/08/1990;0.343;126.155;36.5;1990;6.1
10/08/1990;-19.768;-177.349;385.8;1990;5.6
12/08/1990;-19.44;169.237;140.4;1990;7.1
14/08/1990;35.357;-35.805;8;1990;6.3
17/08/1990;-11.09;162.057;23.2;1990;6.7
18/08/1990;-40.192;78.298;19.7;1990;6.1
18/08/1990;7.586;93.91;19.1;1990;5.9
20/08/1990;46.093;142.263;332.9;1990;5.5
21/08/1990;-33.437;-177.809;15;1990;5.7
21/08/1990;-27.553;-104.307;15.2;1990;5.8
25/08/1990;0.54;126.064;13.5;1990;6.3
27/08/1990;-6.865;125.457;519.7;1990;5.6
30/08/1990;15.912;-47.911;7.4;1990;5.5
2/09/1990;-0.136;-80.232;15.2;1990;6.2
2/09/1990;-3.08;148.214;7.6;1990;5.5
2/09/1990;-3.153;148.295;11.4;1990;5.8
4/09/1990;-31.257;-69.1;110.7;1990;5.5
5/09/1990;8.526;126.421;43.7;1990;5.5
8/09/1990;-24.444;-177.047;134.6;1990;5.5
8/09/1990;-20.55;-174.084;36;1990;5.9
9/09/1990;-5.161;151.841;51.3;1990;5.9
11/09/1990;22.712;120.886;36.2;1990;5.5
12/09/1990;-60.447;-65.169;22.8;1990;5.6
14/09/1990;-60.812;-22.919;24.3;1990;5.9
17/09/1990;-5.94;103.719;60.6;1990;5.6
17/09/1990;-53.23;159.702;15;1990;6.4
18/09/1990;51.46;177.881;37.2;1990;5.5
23/09/1990;-14.907;-173.47;1.5;1990;5.8
23/09/1990;-17.779;167.73;26.2;1990;6.3
23/09/1990;33.275;138.612;6.7;1990;6.5
23/09/1990;33.241;138.635;7.8;1990;6.1
24/09/1990;-17.679;167.966;29.8;1990;5.7
28/09/1990;-13.534;167.134;181.5;1990;6.7
30/09/1990;24.305;125.175;36.9;1990;6
2/10/1990;-17.645;167.893;33.3;1990;5.7
2/10/1990;-23.965;-174.587;17.7;1990;5.5
10/10/1990;-19.532;-66.59;259.4;1990;6.5
10/10/1990;-23.5;179.132;552.2;1990;5.9
13/10/1990;15.777;148.003;18.4;1990;5.7
15/10/1990;-2.208;92.193;40.4;1990;6.7
16/10/1990;49.107;154.982;86.4;1990;5.6
17/10/1990;-25.653;-176.212;3.3;1990;5.6
17/10/1990;-11.032;-70.741;598.5;1990;7
20/10/1990;37.092;103.739;4.3;1990;5.5
25/10/1990;35.091;70.475;112.3;1990;5.6
25/10/1990;8.326;126.463;44.8;1990;6.3
25/10/1990;-6.132;155.023;141;1990;5.7
26/10/1990;-35.282;-16.357;17.2;1990;5.9
26/10/1990;-35.411;-16.127;4.3;1990;5.5
29/10/1990;-63.556;172.141;10;1990;5.5
1/11/1990;-3.497;139.402;38.4;1990;5.5
4/11/1990;-15.712;-72.548;121.3;1990;5.5
6/11/1990;28.232;55.459;10.2;1990;6.6
6/11/1990;28.234;55.349;39.6;1990;5.7
6/11/1990;53.491;169.819;25.9;1990;7.1
12/11/1990;42.953;78.055;18.7;1990;6.2
13/11/1990;46.199;138.661;15.3;1990;5.7
15/11/1990;3.933;97.392;12.3;1990;6.7
15/11/1990;4.007;97.298;44.9;1990;5.7
15/11/1990;3.988;97.298;69;1990;5.6
20/11/1990;0.19;127.053;120.2;1990;5.5
21/11/1990;51.657;-171.353;49.8;1990;5.8
22/11/1990;-5.577;151.054;28.3;1990;6.2
23/11/1990;-4.912;145.863;17;1990;5.5
23/11/1990;4.705;-75.557;143.3;1990;5.8
25/11/1990;-23.709;-175.681;30;1990;5.6
29/11/1990;-28.011;-179.62;395.6;1990;5.9
30/11/1990;1.064;123.957;31.6;1990;5.6
2/12/1990;-26.756;-114.173;6;1990;5.6
5/12/1990;-5.274;131.449;82.1;1990;5.9
7/12/1990;-16.962;-177.216;413.3;1990;5.8
10/12/1990;-5.912;142.281;13.5;1990;5.8
11/12/1990;-15.382;-173.087;18.3;1990;6.1
11/12/1990;-15.373;-172.906;7.4;1990;5.5
13/12/1990;23.883;121.644;9.8;1990;6.2
13/12/1990;1.099;123.961;36.2;1990;6
13/12/1990;23.754;121.598;14.7;1990;6.3
13/12/1990;23.696;121.603;28.5;1990;5.7
13/12/1990;23.857;121.715;5.7;1990;5.8
16/12/1990;-5.953;142.239;21;1990;5.5
17/12/1990;6.609;-82.176;20.8;1990;6.2
17/12/1990;7.058;-81.966;10;1990;6
19/12/1990;52.666;160.608;31;1990;5.8
21/12/1990;-16.664;-177.431;9.5;1990;5.6
21/12/1990;-20.536;-173.941;15.3;1990;6
21/12/1990;40.98;22.347;10.8;1990;6
22/12/1990;9.982;-84.229;11.3;1990;5.8
22/12/1990;-14.908;168.123;29.2;1990;5.5
23/12/1990;-15.127;167.497;143.4;1990;5.6
24/12/1990;-5.35;151.542;50.3;1990;5.8
25/12/1990;23.808;121.587;38;1990;5.7
28/12/1990;-14.919;66.738;23.1;1990;5.7
29/12/1990;8.3;94.018;15.9;1990;6
30/12/1990;23.864;121.666;17.1;1990;5.6
30/12/1990;-5.093;151.022;187.8;1990;7.5
31/12/1990;0.839;126.654;68.9;1990;5.5
1/01/1991;18.003;-105.903;23;1991;6.2
1/01/1991;17.883;-105.932;25;1991;5.5
1/01/1991;-21.091;-174.177;17.9;1991;5.8
